#;Area;Category;Link
1;Health;Cadio Vascular;https://dataspeople.ai/post/gallery/dp-cardio-vascular.html
2;Agriculture;Wine;https://dataspeople.ai/post/gallery/dp-wine-quality.html
3;World Economic;Wolrd Econimic;https://dataspeople.ai/post/gallery/dp-world-population.html
4;Financial Services;Credit;https://dataspeople.ai/post/gallery/dp-credit-customer.html
5;Insurance;Cars Loss;https://dataspeople.ai/post/gallery/dp-crash-automobile.html
6;Logistic;Supply Chain;https://dataspeople.ai/post/gallery/dp-supply-chain.html
7;Ambient;Forest Fire;https://dataspeople.ai/post/gallery/dp-forestfire.html
8;Retail-Sales;Supermarket;https://dataspeople.ai/post/gallery/dp-supermarket.html
9;Health;Disease;https://dataspeople.ai/post/gallery/dp-disease-sympton.html
10;Real Estate;Real Estate;https://dataspeople.ai/post/gallery/dp-housing.html
11;Cars;Automobile;https://dataspeople.ai/post/gallery/dp-automobile.html
12;Health;Covid;https://dataspeople.ai/post/gallery/dp-latest-covid.html
13;AML;AML;https://dataspeople.ai/post/gallery/dp-aml.html
14;Health;Nutritional;https://dataspeople.ai/post/gallery/dp-nutritional.html
15;World Economic;GDP-PIB;https://dataspeople.ai/post/gallery/dp-gdp.html
16;Banks;Bankruptcy;https://dataspeople.ai/post/gallery/dp-bankruptcy.html
17;Clinic Research;Clinical Labs;https://dataspeople.ai/post/gallery/dp-clinic-labs.html
18;Benchmark;Smartphones;https://dataspeople.ai/post/gallery/dp-smartphones.html
19;Food;Food;https://dataspeople.ai/post/gallery/dp-food.html
20;Banks;Banks;https://dataspeople.ai/post/gallery/dp-banks.html
21;Sports;Sport Scoccer;https://dataspeople.ai/post/gallery/dp-sports-soccer.html
22;Clinic Research;Heart Failure;https://dataspeople.ai/post/gallery/dp-heart-failure.html
23;Clinic Research;Heart;https://dataspeople.ai/post/gallery/dp-heart.html
24;Clinic Research;Hematology;https://dataspeople.ai/post/gallery/dp-hematology.html
25;Clinic Research;Brest Cancer;https://dataspeople.ai/post/gallery/dp-breast-cancer.html
26;Clinic Research;Brest;https://dataspeople.ai/post/gallery/dp-breast.html
27;Clinic Research;Meandeley;https://dataspeople.ai/post/gallery/dp-meandeley.html
28;Clinic Research;Brest Cancer;https://dataspeople.ai/post/gallery/dp-brca.html
29;Clinic Research;Hematology;https://dataspeople.ai/post/gallery/dp-hetamology2.html
30;Retail;Cameras Segmentation;https://dataspeople.ai/post/gallery/dp-cameras.html
31;Human Resources;HR Engagement;https://dataspeople.ai/post/gallery/dp-emp-engagement.html
32;Human Resources;HR Absenteeism;https://dataspeople.ai/post/gallery/dp-absenteeism.html
33;Customer;Churn;https://dataspeople.ai/post/gallery/dp-churn.html
34;Research;Smokers;https://dataspeople.ai/post/gallery/dp-smokers.html
35;Research;Cells;https://dataspeople.ai/post/gallery/dp-cells.html
36;Ambient;Air Quality;https://dataspeople.ai/post/gallery/de-air-quality.html
37;Research;Biopsy;https://dataspeople.ai/post/gallery/dp-biopsy.html
