"COD_DEPTO","COD_DANE","OBJECTID","ID_ESPACIAL","AREA_OFICIAL","ENTIDAD_TERRITORIAL","NOM_DEPARTAMENTO","NOM_MUNICIPIO","INPOLY_FID","SIMPGNFLAG","MAXSIMPTOL","MINSIMPTOL","SHAPE.AREA","SHAPE.LEN","ID_DATO","ID_INDICADOR","DATO","UNIDAD_MEDIDA","VALOR","ANO","REGISTRO_ESPACIAL","SUBSISTEMA","TEMA","ID_UNIDAD_ESPACIAL",
"52","52256","45","52256","","EL ROSARIO","NARIÑO","EL ROSARIO","85","","5000","5000","519550834.537119","132375.33338604303","1194","866082","Producción de Aguacate","Tonelada","19","2010","EL ROSARIO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41244","49","41244","","ELÍAS","HUILA","ELÍAS","89","","5000","5000","80388195.7673166","44968.985104171006","1194","866039","Producción de Aguacate","Tonelada","110","2010","ELIAS","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41530","97","41530","","PALESTINA","HUILA","PALESTINA","76","","5000","5000","193825656.193163","65607.1621895637","1194","866051","Producción de Aguacate","Tonelada","","2010","PALESTINA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52418","100","52418","","LOS ANDES (Sotomayor)","NARIÑO","LOS ANDES (Sotomayor)","79","","5000","5000","964419410.607607","192226.319673166","1194","866085","Producción de Aguacate","Tonelada","","2010","LOS ANDES (Sotomayor)","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05809","55","05809","","TITIRIBÍ","ANTIOQUIA","TITIRIBÍ","95","","5000","5000","134424131.721875","46812.7248559203","1194","863880","Producción de Aguacate","Tonelada","","2010","TITIRIBI","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05148","56","05148","","CARMEN DE VIBORAL","ANTIOQUIA","CARMEN DE VIBORAL","96","","5000","5000","413232505.824847","103121.574225396","1194","863848","Producción de Aguacate","Tonelada","1615","2010","CARMEN DE VIBORAL","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05615","58","05615","","RIONEGRO","ANTIOQUIA","RIONEGRO","98","","5000","5000","201290401.858613","63758.3406498896","1194","863866","Producción de Aguacate","Tonelada","1260","2010","RIONEGRO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05059","59","05059","","ARMENIA","ANTIOQUIA","ARMENIA","99","","5000","5000","113544916.83624","49390.9490104582","1194","863841","Producción de Aguacate","Tonelada","35","2010","ARMENIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05440","61","05440","","MARINILLA","ANTIOQUIA","MARINILLA","101","","5000","5000","111269456.733023","43870.2637207645","1194","863859","Producción de Aguacate","Tonelada","720","2010","MARINILLA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52411","72","52411","","LINARES","NARIÑO","LINARES","51","","5000","5000","140230579.087031","54081.311663816196","1194","866084","Producción de Aguacate","Tonelada","","2010","LINARES","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52678","83","52678","","SAMANIEGO","NARIÑO","SAMANIEGO","62","","5000","5000","615850026.542893","140739.547961178","1194","866088","Producción de Aguacate","Tonelada","10","2010","SAMANIEGO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"19","19290","95","19290","","FLORENCIA","CAUCA","FLORENCIA","74","","5000","5000","58412463.383606","33773.423210216795","1194","864963","Producción de Aguacate","Tonelada","6","2010","FLORENCIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"66","66088","147","66088","","BELÉN DE UMBRÍA","RISARALDA","BELÉN DE UMBRÍA","132","","5000","5000","175910364.235541","51177.8323040244","1194","867147","Producción de Aguacate","Tonelada","420","2010","BELEN DE UMBRIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"17","17486","148","17486","","NEIRA","CALDAS","NEIRA","133","","5000","5000","382555029.043666","113172.35341911501","1194","864947","Producción de Aguacate","Tonelada","704","2010","NEIRA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"19","19760","152","19760","","SOTARÁ (Paispamba)","CAUCA","SOTARÁ (Paispamba)","137","","5000","5000","507862086.644146","121854.955648939","1194","864968","Producción de Aguacate","Tonelada","168","2010","SOTARA (Paispamba)","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"15","15832","156","15832","","TUNUNGUÁ","BOYACÁ","TUNUNGUÁ","155","","5000","5000","24594454.8361173","21863.4948901638","1194","864936","Producción de Aguacate","Tonelada","15","2010","TUNUNGUA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
